indice_tiempo,region_de_destino,categoria_del_hotel,tarifa_media_diaria_en_usd,observaciones
2012-02-01,Norte,4 y 5 estrellas,87.09,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Norte,Para Hoteles,37.06,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Norte,Total,55.68,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Patagonia,1 y 2 estrellas,48.67,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Patagonia,3 estrellas/boutiques/aparts,94.45,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Patagonia,4 y 5 estrellas,128.03,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Patagonia,Para Hoteles,46.87,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Patagonia,Total,76.85,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Buenos Aires,1 y 2 estrellas,34.66,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Buenos Aires,3 estrellas/boutiques/aparts,64.56,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Buenos Aires,4 y 5 estrellas,95.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Buenos Aires,Para Hoteles,44.61,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,Buenos Aires,Total,53.68,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,CABA,1 y 2 estrellas,46.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,CABA,3 estrellas/boutiques/aparts,82.41,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,CABA,4 y 5 estrellas,138.93,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,CABA,Para Hoteles,24.81,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-03-01,CABA,Total,95.11,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
