indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo,observaciones
2013-01-01,Buenos Aires,1 y 2 estrellas,2705,""
2013-01-01,Buenos Aires,3 estrellas/boutiques/aparts,3474,""
2013-01-01,Buenos Aires,4 y 5 estrellas,2155,""
2013-01-01,Buenos Aires,Para Hoteles,4329,""
2013-01-01,CABA,1 y 2 estrellas,1014,""
2013-01-01,CABA,3 estrellas/boutiques/aparts,3875,""
2013-01-01,CABA,4 y 5 estrellas,9060,""
2013-01-01,CABA,Para Hoteles,1638,""
2013-01-01,Cuyo,1 y 2 estrellas,1297,""
2013-01-01,Cuyo,3 estrellas/boutiques/aparts,2127,""
2013-01-01,Cuyo,4 y 5 estrellas,2701,""
2013-01-01,Cuyo,Para Hoteles,1129,""
2013-01-01,Córdoba,1 y 2 estrellas,2026,""
2013-01-01,Córdoba,3 estrellas/boutiques/aparts,1740,""
2013-01-01,Córdoba,4 y 5 estrellas,951,""
2013-01-01,Córdoba,Para Hoteles,2968,""
2013-01-01,Litoral,1 y 2 estrellas,1008,""
2013-01-01,Litoral,3 estrellas/boutiques/aparts,1859,""
2013-01-01,Litoral,4 y 5 estrellas,3348,""
2013-01-01,Litoral,Para Hoteles,2011,""
2013-01-01,Norte,1 y 2 estrellas,827,""
2013-01-01,Norte,3 estrellas/boutiques/aparts,2175,""
2013-01-01,Norte,4 y 5 estrellas,1747,""
2013-01-01,Norte,Para Hoteles,1699,""
2013-01-01,Patagonia,1 y 2 estrellas,1983,""
2013-01-01,Patagonia,3 estrellas/boutiques/aparts,2834,""
2013-01-01,Patagonia,4 y 5 estrellas,3251,""
2013-01-01,Patagonia,Para Hoteles,3392,""
2013-02-01,Buenos Aires,1 y 2 estrellas,2701,""
2013-02-01,Buenos Aires,3 estrellas/boutiques/aparts,3331,""
2013-02-01,Buenos Aires,4 y 5 estrellas,2377,""
2013-02-01,Buenos Aires,Para Hoteles,4081,""
2013-02-01,CABA,1 y 2 estrellas,1004,""
2013-02-01,CABA,3 estrellas/boutiques/aparts,3803,""
2013-02-01,CABA,4 y 5 estrellas,8987,""
2013-02-01,CABA,Para Hoteles,1622,""
2013-02-01,Cuyo,1 y 2 estrellas,1283,""
2013-02-01,Cuyo,3 estrellas/boutiques/aparts,2112,""
2013-02-01,Cuyo,4 y 5 estrellas,2678,""
2013-02-01,Cuyo,Para Hoteles,1151,""
2013-02-01,Córdoba,1 y 2 estrellas,2048,""
2013-02-01,Córdoba,3 estrellas/boutiques/aparts,1654,""
2013-02-01,Córdoba,4 y 5 estrellas,913,""
2013-02-01,Córdoba,Para Hoteles,2965,""
2013-02-01,Litoral,1 y 2 estrellas,1031,""
