indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible_en_usd,observaciones
2012-03-01,Cuyo,3 estrellas/boutiques/aparts,23.24,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Cuyo,4 y 5 estrellas,46.23,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Cuyo,Para Hoteles,6.78,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Cuyo,Total,21.51,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Córdoba,1 y 2 estrellas,24.28,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Córdoba,3 estrellas/boutiques/aparts,34.87,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Córdoba,4 y 5 estrellas,35.76,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Córdoba,Para Hoteles,21.3,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Córdoba,Total,27.02,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Litoral,1 y 2 estrellas,16.51,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Litoral,3 estrellas/boutiques/aparts,24.74,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Litoral,4 y 5 estrellas,45.42,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Litoral,Para Hoteles,27.44,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Litoral,Total,29.62,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Norte,1 y 2 estrellas,9.54,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Norte,3 estrellas/boutiques/aparts,23.92,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Norte,4 y 5 estrellas,31.65,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Norte,Para Hoteles,8.75,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Norte,Total,16.62,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Patagonia,1 y 2 estrellas,16.24,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Patagonia,3 estrellas/boutiques/aparts,38.7,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Patagonia,4 y 5 estrellas,47.77,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Patagonia,Para Hoteles,12.94,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Patagonia,Total,26.6,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Buenos Aires,1 y 2 estrellas,8.74,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Buenos Aires,3 estrellas/boutiques/aparts,21.75,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Buenos Aires,4 y 5 estrellas,34.02,Calculado a valores de la cotización oficial de venta de la divisa.
