indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible,observaciones
2020-01-01,CABA,Total,2255.9,""
2020-01-01,Cuyo,1 y 2 estrellas,673.5,""
2020-01-01,Cuyo,3 estrellas/boutiques/aparts,1041,""
2020-01-01,Cuyo,4 y 5 estrellas,2559.2,""
2020-01-01,Cuyo,Para Hoteles,599.4,""
2020-01-01,Cuyo,Total,1207.4,""
2020-01-01,Córdoba,1 y 2 estrellas,1149.3,""
2020-01-01,Córdoba,3 estrellas/boutiques/aparts,2109.5,""
2020-01-01,Córdoba,4 y 5 estrellas,1952.7,""
2020-01-01,Córdoba,Para Hoteles,2055,""
2020-01-01,Córdoba,Total,1770.3,""
2020-01-01,Litoral,1 y 2 estrellas,370.3,""
2020-01-01,Litoral,3 estrellas/boutiques/aparts,856.5,""
2020-01-01,Litoral,4 y 5 estrellas,2099.9,""
2020-01-01,Litoral,Para Hoteles,647.5,""
2020-01-01,Litoral,Total,1145.1,""
2020-01-01,Norte,1 y 2 estrellas,392.2,""
2020-01-01,Norte,3 estrellas/boutiques/aparts,908.1,""
2020-01-01,Norte,4 y 5 estrellas,1699.1,""
2020-01-01,Norte,Para Hoteles,461.8,""
2020-01-01,Norte,Total,829.8,""
2020-01-01,Patagonia,1 y 2 estrellas,1538.8,""
2020-01-01,Patagonia,3 estrellas/boutiques/aparts,3205.1,""
2020-01-01,Patagonia,4 y 5 estrellas,5867.2,""
2020-01-01,Patagonia,Para Hoteles,1745.1,""
2020-01-01,Patagonia,Total,3007,""
2020-02-01,Buenos Aires,1 y 2 estrellas,1355.8,""
2020-02-01,Buenos Aires,3 estrellas/boutiques/aparts,2688,""
2020-02-01,Buenos Aires,4 y 5 estrellas,3278.1,""
2020-02-01,Buenos Aires,Para Hoteles,1599.5,""
2020-02-01,Buenos Aires,Total,2020,""
2020-02-01,CABA,1 y 2 estrellas,596.1,""
2020-02-01,CABA,3 estrellas/boutiques/aparts,2225.3,""
2020-02-01,CABA,4 y 5 estrellas,3657.5,""
2020-02-01,CABA,Para Hoteles,293.9,""
2020-02-01,CABA,Total,2350.6,""
2020-02-01,Cuyo,1 y 2 estrellas,687.7,""
2020-02-01,Cuyo,3 estrellas/boutiques/aparts,1030.2,""
2020-02-01,Cuyo,4 y 5 estrellas,2458.5,""
2020-02-01,Cuyo,Para Hoteles,547.5,""
2020-02-01,Cuyo,Total,1170.8,""
2020-02-01,Córdoba,1 y 2 estrellas,992.8,""
2020-02-01,Córdoba,3 estrellas/boutiques/aparts,2085,""
2020-02-01,Córdoba,4 y 5 estrellas,2033.9,""
2020-02-01,Córdoba,Para Hoteles,1867.3,""
2020-02-01,Córdoba,Total,1664.5,""
2020-02-01,Litoral,1 y 2 estrellas,447.9,""
2020-02-01,Litoral,3 estrellas/boutiques/aparts,892.9,""
2020-02-01,Litoral,4 y 5 estrellas,1991.4,""
2020-02-01,Litoral,Para Hoteles,799.6,""
2020-02-01,Litoral,Total,1176.3,""
2020-02-01,Norte,1 y 2 estrellas,440.8,""
2020-02-01,Norte,3 estrellas/boutiques/aparts,1126.9,""
2020-02-01,Norte,4 y 5 estrellas,1946.1,""
2020-02-01,Norte,Para Hoteles,459,""
2020-02-01,Norte,Total,972.1,""
2020-02-01,Patagonia,1 y 2 estrellas,2444.1,""
2020-02-01,Patagonia,3 estrellas/boutiques/aparts,2981.9,""
2020-02-01,Patagonia,4 y 5 estrellas,5438.4,""
2020-02-01,Patagonia,Para Hoteles,1636.3,""
2020-02-01,Patagonia,Total,2968,""
2020-03-01,Buenos Aires,1 y 2 estrellas,390.2,""
2020-03-01,Buenos Aires,3 estrellas/boutiques/aparts,1007.5,""
2020-03-01,Buenos Aires,4 y 5 estrellas,1105.9,""
2020-03-01,Buenos Aires,Para Hoteles,489.7,""
2020-03-01,Buenos Aires,Total,702.7,""
2020-03-01,CABA,1 y 2 estrellas,,Emergencia sanitaria. En CABA la información a nivel categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-03-01,CABA,3 estrellas/boutiques/aparts,,Emergencia sanitaria. En CABA la información a nivel categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-03-01,CABA,4 y 5 estrellas,,Emergencia sanitaria. En CABA la información a nivel categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-03-01,CABA,Para Hoteles,,Emergencia sanitaria. En CABA la información a nivel categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-03-01,CABA,Total,,Emergencia sanitaria. En CABA la información a nivel categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-03-01,Cuyo,1 y 2 estrellas,567.7,""
2020-03-01,Cuyo,3 estrellas/boutiques/aparts,792.9,""
2020-03-01,Cuyo,4 y 5 estrellas,2269.6,""
2020-03-01,Cuyo,Para Hoteles,330.8,""
2020-03-01,Cuyo,Total,1002.7,""
2020-03-01,Córdoba,1 y 2 estrellas,582.8,""
2020-03-01,Córdoba,3 estrellas/boutiques/aparts,1152.7,""
2020-03-01,Córdoba,4 y 5 estrellas,1138.8,""
2020-03-01,Córdoba,Para Hoteles,601.3,""
2020-03-01,Córdoba,Total,814,""
2020-03-01,Litoral,1 y 2 estrellas,538.9,""
2020-03-01,Litoral,3 estrellas/boutiques/aparts,547.9,""
2020-03-01,Litoral,4 y 5 estrellas,1206.2,""
2020-03-01,Litoral,Para Hoteles,458.2,""
2020-03-01,Litoral,Total,736.9,""
2020-03-01,Norte,1 y 2 estrellas,272.8,""
2020-03-01,Norte,3 estrellas/boutiques/aparts,759.5,""
2020-03-01,Norte,4 y 5 estrellas,1369.1,""
2020-03-01,Norte,Para Hoteles,256.5,""
2020-03-01,Norte,Total,658.8,""
2020-03-01,Patagonia,1 y 2 estrellas,1639.7,""
2020-03-01,Patagonia,3 estrellas/boutiques/aparts,2094.7,""
2020-03-01,Patagonia,4 y 5 estrellas,3254.6,""
2020-03-01,Patagonia,Para Hoteles,875.8,""
2020-03-01,Patagonia,Total,1872,""
2020-04-01,Buenos Aires,1 y 2 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Buenos Aires,3 estrellas/boutiques/aparts,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Buenos Aires,4 y 5 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Buenos Aires,Para Hoteles,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Buenos Aires,Total,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,CABA,1 y 2 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,CABA,3 estrellas/boutiques/aparts,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,CABA,4 y 5 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,CABA,Para Hoteles,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,CABA,Total,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Cuyo,1 y 2 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Cuyo,3 estrellas/boutiques/aparts,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Cuyo,4 y 5 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Cuyo,Para Hoteles,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Cuyo,Total,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Córdoba,1 y 2 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Córdoba,3 estrellas/boutiques/aparts,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Córdoba,4 y 5 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Córdoba,Para Hoteles,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Córdoba,Total,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Litoral,1 y 2 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Litoral,3 estrellas/boutiques/aparts,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Litoral,4 y 5 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Litoral,Para Hoteles,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Litoral,Total,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Norte,1 y 2 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Norte,3 estrellas/boutiques/aparts,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Norte,4 y 5 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Norte,Para Hoteles,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Norte,Total,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Patagonia,1 y 2 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Patagonia,3 estrellas/boutiques/aparts,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Patagonia,4 y 5 estrellas,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Patagonia,Para Hoteles,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-04-01,Patagonia,Total,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-05-01,Buenos Aires,1 y 2 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Buenos Aires,3 estrellas/boutiques/aparts,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Buenos Aires,4 y 5 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Buenos Aires,Para Hoteles,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Buenos Aires,Total,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,CABA,1 y 2 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,CABA,3 estrellas/boutiques/aparts,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,CABA,4 y 5 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,CABA,Para Hoteles,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,CABA,Total,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Cuyo,1 y 2 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Cuyo,3 estrellas/boutiques/aparts,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Cuyo,4 y 5 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Cuyo,Para Hoteles,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Cuyo,Total,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Córdoba,1 y 2 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Córdoba,3 estrellas/boutiques/aparts,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Córdoba,4 y 5 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Córdoba,Para Hoteles,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Córdoba,Total,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Litoral,1 y 2 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Litoral,3 estrellas/boutiques/aparts,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Litoral,4 y 5 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Litoral,Para Hoteles,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Litoral,Total,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Norte,1 y 2 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Norte,3 estrellas/boutiques/aparts,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Norte,4 y 5 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Norte,Para Hoteles,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Norte,Total,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Patagonia,1 y 2 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Patagonia,3 estrellas/boutiques/aparts,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Patagonia,4 y 5 estrellas,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Patagonia,Para Hoteles,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-05-01,Patagonia,Total,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-06-01,Buenos Aires,1 y 2 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Buenos Aires,3 estrellas/boutiques/aparts,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Buenos Aires,4 y 5 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Buenos Aires,Para Hoteles,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Buenos Aires,Total,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,CABA,1 y 2 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,CABA,3 estrellas/boutiques/aparts,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,CABA,4 y 5 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,CABA,Para Hoteles,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,CABA,Total,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Cuyo,1 y 2 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Cuyo,3 estrellas/boutiques/aparts,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Cuyo,4 y 5 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Cuyo,Para Hoteles,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Cuyo,Total,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Córdoba,1 y 2 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Córdoba,3 estrellas/boutiques/aparts,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Córdoba,4 y 5 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Córdoba,Para Hoteles,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Córdoba,Total,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Litoral,1 y 2 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Litoral,3 estrellas/boutiques/aparts,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Litoral,4 y 5 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Litoral,Para Hoteles,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Litoral,Total,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Norte,1 y 2 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Norte,3 estrellas/boutiques/aparts,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Norte,4 y 5 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Norte,Para Hoteles,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Norte,Total,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Patagonia,1 y 2 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Patagonia,3 estrellas/boutiques/aparts,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
2020-06-01,Patagonia,4 y 5 estrellas,,Emergencia sanitaria. La información por categoría no alcanzó el estándar de calidad mínimo requerido para su publicación como consecuencia de las restricciones en la actividad hotelera.
