indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible,observaciones
2012-06-01,Buenos Aires,1 y 2 estrellas,22,""
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,45.4,""
2012-06-01,Buenos Aires,4 y 5 estrellas,67.2,""
2012-06-01,Buenos Aires,Para Hoteles,29.2,""
2012-06-01,Buenos Aires,Total,36.3,""
2012-06-01,CABA,1 y 2 estrellas,92.9,""
2012-06-01,CABA,3 estrellas/boutiques/aparts,189,""
2012-06-01,CABA,4 y 5 estrellas,312.9,""
2012-06-01,CABA,Para Hoteles,40.6,""
2012-06-01,CABA,Total,190.5,""
2012-06-01,Cuyo,1 y 2 estrellas,40.4,""
2012-06-01,Cuyo,3 estrellas/boutiques/aparts,84.8,""
2012-06-01,Cuyo,4 y 5 estrellas,179.8,""
2012-06-01,Cuyo,Para Hoteles,17.4,""
2012-06-01,Cuyo,Total,76.7,""
2012-06-01,Córdoba,1 y 2 estrellas,39.8,""
2012-06-01,Córdoba,3 estrellas/boutiques/aparts,91.8,""
2012-06-01,Córdoba,4 y 5 estrellas,146.1,""
2012-06-01,Córdoba,Para Hoteles,24.1,""
2012-06-01,Córdoba,Total,60.5,""
2012-06-01,Litoral,1 y 2 estrellas,61.9,""
2012-06-01,Litoral,3 estrellas/boutiques/aparts,107.6,""
2012-06-01,Litoral,4 y 5 estrellas,181.8,""
2012-06-01,Litoral,Para Hoteles,37.8,""
2012-06-01,Litoral,Total,98.9,""
2012-06-01,Norte,1 y 2 estrellas,47.8,""
2012-06-01,Norte,3 estrellas/boutiques/aparts,87.5,""
2012-06-01,Norte,4 y 5 estrellas,180.1,""
2012-06-01,Norte,Para Hoteles,29.7,""
2012-06-01,Norte,Total,73.5,""
2012-06-01,Patagonia,1 y 2 estrellas,57.3,""
2012-06-01,Patagonia,3 estrellas/boutiques/aparts,109.9,""
2012-06-01,Patagonia,4 y 5 estrellas,154.4,""
2012-06-01,Patagonia,Para Hoteles,24.6,""
2012-06-01,Patagonia,Total,76.1,""
2012-07-01,Buenos Aires,1 y 2 estrellas,30.4,""
2012-07-01,Buenos Aires,3 estrellas/boutiques/aparts,101.3,""
2012-07-01,Buenos Aires,4 y 5 estrellas,130,""
2012-07-01,Buenos Aires,Para Hoteles,58.5,""
2012-07-01,Buenos Aires,Total,72.1,""
2012-07-01,CABA,1 y 2 estrellas,118,""
2012-07-01,CABA,3 estrellas/boutiques/aparts,224.3,""
2012-07-01,CABA,4 y 5 estrellas,321.5,""
2012-07-01,CABA,Para Hoteles,48.6,""
2012-07-01,CABA,Total,207.6,""
2012-07-01,Cuyo,1 y 2 estrellas,65.1,""
2012-07-01,Cuyo,3 estrellas/boutiques/aparts,129.1,""
2012-07-01,Cuyo,4 y 5 estrellas,294.8,""
2012-07-01,Cuyo,Para Hoteles,41.2,""
2012-07-01,Cuyo,Total,131,""
2012-07-01,Córdoba,1 y 2 estrellas,66.2,""
2012-07-01,Córdoba,3 estrellas/boutiques/aparts,149.6,""
2012-07-01,Córdoba,4 y 5 estrellas,213.5,""
2012-07-01,Córdoba,Para Hoteles,104,""
2012-07-01,Córdoba,Total,115.6,""
2012-07-01,Litoral,1 y 2 estrellas,71.1,""
2012-07-01,Litoral,3 estrellas/boutiques/aparts,135.4,""
2012-07-01,Litoral,4 y 5 estrellas,253.2,""
2012-07-01,Litoral,Para Hoteles,70.7,""
2012-07-01,Litoral,Total,141.1,""
2012-07-01,Norte,1 y 2 estrellas,96.1,""
2012-07-01,Norte,3 estrellas/boutiques/aparts,175.3,""
2012-07-01,Norte,4 y 5 estrellas,301.7,""
2012-07-01,Norte,Para Hoteles,64.3,""
2012-07-01,Norte,Total,137.6,""
2012-07-01,Patagonia,1 y 2 estrellas,123.1,""
2012-07-01,Patagonia,3 estrellas/boutiques/aparts,228,""
2012-07-01,Patagonia,4 y 5 estrellas,420.6,""
2012-07-01,Patagonia,Para Hoteles,81.8,""
2012-07-01,Patagonia,Total,187.9,""
2012-08-01,Buenos Aires,1 y 2 estrellas,24.1,""
2012-08-01,Buenos Aires,3 estrellas/boutiques/aparts,69.1,""
2012-08-01,Buenos Aires,4 y 5 estrellas,96.1,""
2012-08-01,Buenos Aires,Para Hoteles,35.9,""
2012-08-01,Buenos Aires,Total,49.2,""
2012-08-01,CABA,1 y 2 estrellas,107.5,""
2012-08-01,CABA,3 estrellas/boutiques/aparts,193.1,""
2012-08-01,CABA,4 y 5 estrellas,309.6,""
2012-08-01,CABA,Para Hoteles,39.6,""
2012-08-01,CABA,Total,191.7,""
2012-08-01,Cuyo,1 y 2 estrellas,49.1,""
2012-08-01,Cuyo,3 estrellas/boutiques/aparts,106.7,""
2012-08-01,Cuyo,4 y 5 estrellas,272,""
2012-08-01,Cuyo,Para Hoteles,25.7,""
2012-08-01,Cuyo,Total,110,""
2012-08-01,Córdoba,1 y 2 estrellas,43,""
2012-08-01,Córdoba,3 estrellas/boutiques/aparts,112.8,""
2012-08-01,Córdoba,4 y 5 estrellas,166.1,""
2012-08-01,Córdoba,Para Hoteles,42.4,""
2012-08-01,Córdoba,Total,73.9,""
2012-08-01,Litoral,1 y 2 estrellas,69.4,""
2012-08-01,Litoral,3 estrellas/boutiques/aparts,128.6,""
2012-08-01,Litoral,4 y 5 estrellas,232.6,""
2012-08-01,Litoral,Para Hoteles,50.2,""
2012-08-01,Litoral,Total,127.1,""
2012-08-01,Norte,1 y 2 estrellas,72.3,""
2012-08-01,Norte,3 estrellas/boutiques/aparts,128.1,""
2012-08-01,Norte,4 y 5 estrellas,200,""
2012-08-01,Norte,Para Hoteles,40.8,""
2012-08-01,Norte,Total,96.6,""
2012-08-01,Patagonia,1 y 2 estrellas,104.2,""
2012-08-01,Patagonia,3 estrellas/boutiques/aparts,200.7,""
2012-08-01,Patagonia,4 y 5 estrellas,301,""
2012-08-01,Patagonia,Para Hoteles,63.2,""
2012-08-01,Patagonia,Total,147.6,""
2012-09-01,Buenos Aires,1 y 2 estrellas,27.7,""
2012-09-01,Buenos Aires,3 estrellas/boutiques/aparts,92.1,""
2012-09-01,Buenos Aires,4 y 5 estrellas,136,""
2012-09-01,Buenos Aires,Para Hoteles,45,""
2012-09-01,Buenos Aires,Total,64.9,""
2012-09-01,CABA,1 y 2 estrellas,101.7,""
2012-09-01,CABA,3 estrellas/boutiques/aparts,205.6,""
2012-09-01,CABA,4 y 5 estrellas,338.6,""
2012-09-01,CABA,Para Hoteles,42.6,""
2012-09-01,CABA,Total,205.4,""
2012-09-01,Cuyo,1 y 2 estrellas,52.7,""
2012-09-01,Cuyo,3 estrellas/boutiques/aparts,113.5,""
2012-09-01,Cuyo,4 y 5 estrellas,258.8,""
2012-09-01,Cuyo,Para Hoteles,27.9,""
2012-09-01,Cuyo,Total,107.2,""
2012-09-01,Córdoba,1 y 2 estrellas,49.5,""
2012-09-01,Córdoba,3 estrellas/boutiques/aparts,99.4,""
2012-09-01,Córdoba,4 y 5 estrellas,198.9,""
2012-09-01,Córdoba,Para Hoteles,43.2,""
2012-09-01,Córdoba,Total,76.2,""
2012-09-01,Litoral,1 y 2 estrellas,74,""
