indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-06-01,Norte,1 y 2 estrellas,950,""
2012-06-01,Norte,3 estrellas/boutiques/aparts,1814,""
2012-06-01,Norte,4 y 5 estrellas,1565,""
2012-06-01,Norte,Para Hoteles,1269,""
2012-06-01,Patagonia,1 y 2 estrellas,1663,""
2012-06-01,Patagonia,3 estrellas/boutiques/aparts,2324,""
2012-06-01,Patagonia,4 y 5 estrellas,2558,""
2012-06-01,Patagonia,Para Hoteles,1695,""
2012-07-01,Buenos Aires,1 y 2 estrellas,903,""
2012-07-01,Buenos Aires,3 estrellas/boutiques/aparts,1939,""
2012-07-01,Buenos Aires,4 y 5 estrellas,1364,""
2012-07-01,Buenos Aires,Para Hoteles,2383,""
2012-07-01,CABA,1 y 2 estrellas,1007,""
2012-07-01,CABA,3 estrellas/boutiques/aparts,3807,""
2012-07-01,CABA,4 y 5 estrellas,8360,""
2012-07-01,CABA,Para Hoteles,1559,""
2012-07-01,Cuyo,1 y 2 estrellas,1024,""
2012-07-01,Cuyo,3 estrellas/boutiques/aparts,1802,""
2012-07-01,Cuyo,4 y 5 estrellas,2803,""
2012-07-01,Cuyo,Para Hoteles,853,""
2012-07-01,Córdoba,1 y 2 estrellas,1250,""
2012-07-01,Córdoba,3 estrellas/boutiques/aparts,1528,""
2012-07-01,Córdoba,4 y 5 estrellas,849,""
2012-07-01,Córdoba,Para Hoteles,1572,""
2012-07-01,Litoral,1 y 2 estrellas,773,""
2012-07-01,Litoral,3 estrellas/boutiques/aparts,1943,""
2012-07-01,Litoral,4 y 5 estrellas,3075,""
2012-07-01,Litoral,Para Hoteles,1570,""
2012-07-01,Norte,1 y 2 estrellas,1204,""
2012-07-01,Norte,3 estrellas/boutiques/aparts,2045,""
2012-07-01,Norte,4 y 5 estrellas,1696,""
2012-07-01,Norte,Para Hoteles,1464,""
2012-07-01,Patagonia,1 y 2 estrellas,1969,""
2012-07-01,Patagonia,3 estrellas/boutiques/aparts,2703,""
2012-07-01,Patagonia,4 y 5 estrellas,2859,""
2012-07-01,Patagonia,Para Hoteles,2128,""
2012-08-01,Buenos Aires,1 y 2 estrellas,940,""
2012-08-01,Buenos Aires,3 estrellas/boutiques/aparts,1816,""
2012-08-01,Buenos Aires,4 y 5 estrellas,1344,""
2012-08-01,Buenos Aires,Para Hoteles,2938,""
2012-08-01,CABA,1 y 2 estrellas,997,""
2012-08-01,CABA,3 estrellas/boutiques/aparts,3825,""
